id;tenant_id;client_id;client_name;status;reason;created_at;resolved_at;updated_at;outgoing_item_id
1;27784;48452;Loan yellow Grocery;PENDING;Gabon;2026-03-04T00:11:07;2026-03-03T13:38:59;2026-03-03T18:04:09;1
2;93058;72386;Gloves global;RESOLVED;Cotton Implemented;2026-03-03T16:11:58;2026-03-03T12:35:23;2026-03-03T18:21:16;2
3;37310;62499;bluetooth Iowa Wooden;PENDING;Account Steel transmitting;2026-03-04T02:03:35;2026-03-03T13:47:04;2026-03-04T07:51:17;3
4;55525;227;Wooden;CANCELLED;salmon revolutionary;2026-03-03T14:48:14;2026-03-03T19:37:29;2026-03-04T08:00:08;4
5;20755;18900;Marketing Sterling Data;RESOLVED;Iran Crossroad eco-centric;2026-03-03T22:17:05;2026-03-03T10:15:04;2026-03-03T15:30:53;5
6;47923;65579;innovate;RESOLVED;yellow open Savings;2026-03-04T08:10:49;2026-03-04T02:55:08;2026-03-04T02:24:46;6
7;41534;32036;Pound;CANCELLED;e-tailers Avon Towels;2026-03-03T22:19:44;2026-03-03T13:07:40;2026-03-04T07:44:39;7
8;9468;28911;installation Incredible Horizontal;CANCELLED;Quality;2026-03-04T01:16:10;2026-03-04T00:47:55;2026-03-04T09:14:06;8
9;35700;12495;Operations partnerships Account;PENDING;Islands;2026-03-04T00:00:12;2026-03-03T19:13:54;2026-03-04T06:52:34;9
10;57582;23503;feed benchmark collaboration;CANCELLED;Intelligent;2026-03-03T18:37:08;2026-03-04T07:23:48;2026-03-03T21:00:03;10
